timestep	Fx	Fy
0.005	87.2754	0.105596
0.01	44.7172	-0.0450142
0.015	23.5681	0.0231329
0.02	12.7642	0.0255294
0.025	7.24412	0.0247207
0.03	4.40541	0.0251789
0.035	2.92932	0.0268547
0.04	2.14958	0.0259408
0.045	1.72549	0.0255791
0.05	1.48585	0.0246318
0.055	1.34255	0.0249411
0.06	1.2505	0.025375
0.065	1.18611	0.0259306
0.07	1.13764	0.0249194
0.075	1.09883	0.0258823
0.08	1.0661	0.025135
0.085	1.03766	0.0249586
0.09	1.01128	0.0256788
0.095	0.989002	0.0246047
0.1	0.969213	0.0263099
0.105	0.949513	0.0250231
0.11	0.931413	0.0244123
0.115	0.914941	0.0245457
0.12	0.899569	0.0254792
0.125	0.884395	0.0233701
0.13	0.871513	0.024195
0.135	0.859065	0.0243804
0.14	0.846421	0.0259152
0.145	0.836387	0.025298
0.15	0.825854	0.0243458
0.155	0.815875	0.0254838
0.16	0.806565	0.0247222
0.165	0.797553	0.0244653
0.17	0.789048	0.0250498
0.175	0.781166	0.0247266
0.18	0.718464	0.0254156
0.185	0.74054	0.0247834
0.19	0.747077	0.023562
0.195	0.747246	0.023591
0.2	0.744482	0.0239889
0.205	0.740098	0.0232429
0.21	0.735469	0.0234628
0.215	0.730555	0.0239468
0.22	0.725584	0.0235739
0.225	0.720905	0.0236674
0.23	0.716436	0.023319
0.235	0.712421	0.0232386
0.24	0.708121	0.0235726
0.245	0.704071	0.0241293
0.25	0.700054	0.0235172
0.255	0.696441	0.0237193
0.26	0.692906	0.0237504
0.265	0.689548	0.0238299
0.27	0.686304	0.0238629
0.275	0.683184	0.0244745
0.28	0.68043	0.023867
0.285	0.677694	0.0241535
0.29	0.674243	0.0238663
0.295	0.672069	0.0239357
0.3	0.669882	0.0239712
0.305	0.667822	0.0173619
0.31	0.665716	0.0221115
0.315	0.66365	0.0235346
0.32	0.661678	0.0238397
0.325	0.659724	0.0240191
0.33	0.657878	0.023728
0.335	0.655254	0.0247736
0.34	0.653987	0.0235243
0.345	0.652782	0.0240664
0.35	0.651619	0.0245082
0.355	0.649956	0.0239145
0.36	0.649465	0.0166341
0.365	0.64711	0.0219349
0.37	0.646059	0.023761
0.375	0.645231	0.0237645
0.38	0.643961	0.0241168
0.385	0.643273	0.0244341
0.39	0.641391	0.023171
0.395	0.640967	0.0239772
0.4	0.640618	0.0237801
0.405	0.639696	0.0241224
0.41	0.638683	0.0242757
0.415	0.60891	0.0247576
0.42	0.623206	0.0241904
0.425	0.630051	0.0240488
0.43	0.633289	0.0243344
0.435	0.644957	0.0234905
0.44	0.640215	0.0245417
0.445	0.637749	0.024151
0.45	0.636392	0.0239488
0.455	0.635557	0.0238641
0.46	0.635033	0.0241762
0.465	0.634946	0.022711
0.47	0.63457	0.0234746
0.475	0.634147	0.0239278
0.48	0.634089	0.0241293
0.485	0.633956	0.0234813
0.49	0.633987	0.0238619
0.495	0.63396	0.0240649
0.5	0.63406	0.0241872
0.505	0.634075	0.0234743
0.51	0.634162	0.0244359
0.515	0.634482	0.0234334
0.52	0.634536	0.0237336
0.525	0.634364	0.0241263
0.53	0.634585	0.0244796
0.535	0.634872	0.0240394
0.54	0.635073	0.0241331
0.545	0.63587	0.0245013
0.55	0.635833	0.0239895
0.555	0.635651	0.0241631
0.56	0.636321	0.0244346
0.565	0.636344	0.0242909
0.57	0.636811	0.0249607
0.575	0.63746	0.0240158
0.58	0.637234	0.0241633
0.585	0.637879	0.0244284
0.59	0.638118	0.0243932
0.595	0.638653	0.0249245
0.6	0.639839	0.0242294
0.605	0.639548	0.0240903
0.61	0.640067	0.0249235
0.615	0.640932	0.0248267
0.62	0.640982	0.0241321
0.625	0.641599	0.0245356
0.63	0.642096	0.024615
0.635	0.642904	0.00795465
0.64	0.643503	0.0212889
0.645	0.643835	0.0233187
0.65	0.644333	0.0242291
0.655	0.645465	0.0246136
0.66	0.645781	0.0181415
0.665	0.646123	0.0231608
0.67	0.646628	0.0239438
0.675	0.647428	0.0230065
0.68	0.647777	0.0243891
0.685	0.648461	0.0242994
0.69	0.649142	0.0239315
0.695	0.650025	0.0246397
0.7	0.650857	0.0249751
0.705	0.650989	0.0253849
0.71	0.651995	0.0248161
0.715	0.652298	0.0205312
0.72	0.653092	0.0238809
0.725	0.653376	0.024865
0.73	0.654331	0.0244154
0.735	0.655029	0.0252918
0.74	0.655644	0.0244368
0.745	0.656674	0.0255252
0.75	0.637183	0.0251705
0.755	0.648143	0.0252818
0.76	0.653758	0.0202249
0.765	0.656365	0.0235746
0.77	0.658741	0.0247179
0.775	0.659768	0.0250145
0.78	0.661216	0.0249831
0.785	0.662179	0.0256511
0.79	0.662627	0.0250565
0.795	0.663791	0.0247401
0.8	0.664164	0.0253204
0.805	0.664977	0.0251652
0.81	0.694609	0.0262487
0.815	0.683581	0.0256767
0.82	0.663077	0.0243351
0.825	0.665675	0.0253339
0.83	0.642271	0.0246011
0.835	0.679925	0.024111
0.84	0.676887	0.024217
0.845	0.674043	0.0232221
0.85	0.672823	0.0240809
0.855	0.672888	0.0231766
0.86	0.673428	0.0243213
0.865	0.674408	-0.00196208
0.87	0.673775	0.0172058
0.875	0.674595	0.021531
0.88	0.675737	0.0222236
0.885	0.676328	0.0239375
0.89	0.676583	0.0232643
0.895	0.677403	0.0237542
0.9	0.693561	0.0243357
0.905	0.687629	0.0241622
0.91	0.68345	0.024128
0.915	0.68197	0.0239684
0.92	0.681234	0.0232201
0.925	0.681863	0.0236011
0.93	0.681807	0.0237222
0.935	0.682446	0.0241331
0.94	0.683689	0.0239673
0.945	0.683429	0.0239619
0.95	0.683485	0.00889641
0.955	0.685198	0.0212715
0.96	0.685926	0.0226882
0.965	0.686925	0.0237217
0.97	0.686728	0.0242083
0.975	0.688291	0.0235942
0.98	0.660271	0.0244397
0.985	0.675411	0.0247375
0.99	0.683322	0.0240236
0.995	0.686529	0.0235516
1	0.688122	0.0239275
1.005	0.68995	0.0240957
1.01	0.690819	0.020889
1.015	0.692575	0.0236535
1.02	0.693482	0.024
1.025	0.69388	0.00560143
1.03	0.694614	0.0199588
1.035	0.694642	0.0214608
1.04	0.684437	0.0221798
1.045	0.690879	0.0243165
1.05	0.694569	0.0235862
1.055	0.695858	0.0237053
1.06	0.69794	0.0238692
1.065	0.697849	0.0243827
1.07	0.698768	0.0238574
1.075	0.700238	0.0235679
1.08	0.699789	0.0237575
1.085	0.700551	0.0239944
1.09	0.701916	0.0235774
1.095	0.701601	0.023861
1.1	0.70181	0.0238457
1.105	0.702558	0.0239498
1.11	0.703175	0.0238692
1.115	0.703732	0.0241384
1.12	0.704235	0.0241782
1.125	0.705105	0.0237974
1.13	0.705376	0.0237964
1.135	0.696182	0.0252337
1.14	0.701618	0.0242116
1.145	0.703042	0.0235295
1.15	0.705113	0.0238099
1.155	0.706402	0.024053
1.16	0.707141	0.00952848
1.165	0.70861	0.0200004
1.17	0.707946	0.0221308
1.175	0.708563	0.0227946
1.18	0.710171	0.0238555
1.185	0.70898	0.0241987
1.19	0.71014	0.0238063
1.195	0.736375	0.0242184
1.2	0.726328	0.0240746
1.205	0.718441	0.0145481
1.21	0.714791	0.0217207
1.215	0.714497	0.022244
1.22	0.714163	0.0230089
1.225	0.71331	0.0231987
1.23	0.712708	0.0233263
1.235	0.714038	0.0231984
1.24	0.714552	0.0244089
1.245	0.71315	0.0229409
1.25	0.713977	0.0232708
1.255	0.71451	0.0232054
1.26	0.715517	0.0237408
1.265	0.715726	0.0232689
1.27	0.71682	0.0241899
1.275	0.715984	0.0230706
1.28	0.716662	0.0238295
1.285	0.715493	0.0226913
1.29	0.717064	0.0227635
1.295	0.716793	0.0229692
1.3	0.717864	0.0236358
1.305	0.716568	0.0232356
1.31	0.717757	0.0231782
1.315	0.717601	0.012795
1.32	0.718664	0.00464499
1.325	0.718736	0.0186092
1.33	0.719904	0.0210694
1.335	0.719844	0.0224528
