ts	X	Y	U	V
1	0	6.59952e-07	1.42949e-316	0.000263981
2	0	1.69847e-06	1.42949e-316	0.000151424
3	0	2.60009e-06	1.42949e-316	0.000209225
4	0	3.80565e-06	1.42949e-316	0.000273001
5	0	5.325e-06	1.42949e-316	0.000334737
6	0	7.15583e-06	1.42949e-316	0.000397596
7	0	9.31136e-06	1.42949e-316	0.000464618
8	0	1.17962e-05	1.42949e-316	0.000529324
9	0	1.46023e-05	1.42949e-316	0.000593092
10	0	1.77211e-05	1.42949e-316	0.000654453
11	0	2.11486e-05	1.42949e-316	0.000716545
12	0	2.48892e-05	1.42949e-316	0.000779675
13	0	2.89487e-05	1.42949e-316	0.000844144
14	0	3.33242e-05	1.42949e-316	0.000906032
15	0	3.80149e-05	1.42949e-316	0.000970268
16	0	4.3022e-05	1.42949e-316	0.00103258
17	0	4.83394e-05	1.42949e-316	0.00109438
18	0	5.39701e-05	1.42949e-316	0.00115791
19	0	5.99116e-05	1.42949e-316	0.00121868
20	0	6.61673e-05	1.42949e-316	0.00128364
21	0	7.27397e-05	1.42949e-316	0.0013453
22	0	7.96163e-05	1.42949e-316	0.00140535
23	0	8.67938e-05	1.42949e-316	0.00146564
24	0	9.42783e-05	1.42949e-316	0.00152817
25	0	0.000102062	1.42949e-316	0.00158534
26	0	0.000110137	1.42949e-316	0.00164447
27	0	0.000118508	1.42949e-316	0.00170396
28	0	0.000127186	1.42949e-316	0.00176718
29	0	0.000136175	1.42949e-316	0.00182874
30	0	0.000145467	1.42949e-316	0.00188781
31	0	0.00015506	1.42949e-316	0.00194961
32	0	0.000164958	1.42949e-316	0.00200938
33	0	0.000175152	1.42949e-316	0.00206838
34	0	0.000185645	1.42949e-316	0.00212872
35	0	0.000196437	1.42949e-316	0.00218811
36	0	0.00020753	1.42949e-316	0.00224909
37	0	0.000218924	1.42949e-316	0.00230835
38	0	0.000230605	1.42949e-316	0.00236441
39	0	0.000242567	1.42949e-316	0.00242039
40	0	0.000254811	1.42949e-316	0.00247722
41	0	0.000267335	1.42949e-316	0.00253203
42	0	0.000280133	1.42949e-316	0.00258723
43	0	0.000293209	1.42949e-316	0.00264348
44	0	0.000306565	1.42949e-316	0.00269863
45	0	0.000320196	1.42949e-316	0.00275385
46	0	0.000334101	1.42949e-316	0.00280803
47	0	0.000348275	1.42949e-316	0.00286182
48	0	0.00036272	1.42949e-316	0.00291628
49	0	0.000377441	1.42949e-316	0.00297195
50	0	0.000392436	1.42949e-316	0.0030259
51	0	0.000407701	1.42949e-316	0.00308017
52	0	0.000423237	1.42949e-316	0.00313432
53	0	0.000439044	1.42949e-316	0.00318848
54	0	0.000455122	1.42949e-316	0.00324252
55	0	0.000471473	1.42949e-316	0.00329789
56	0	0.000488096	1.42949e-316	0.00335154
57	0	0.000504989	1.42949e-316	0.00340569
58	0	0.000522151	1.42949e-316	0.00345892
59	0	0.000539578	1.42949e-316	0.0035121
60	0	0.000557271	1.42949e-316	0.00356515
61	0	0.000575188	1.42949e-316	0.00360146
62	0	0.000593315	1.42949e-316	0.00364942
63	0	0.000611691	1.42949e-316	0.00370071
64	0	0.000630324	1.42949e-316	0.00375253
65	0	0.000649216	1.42949e-316	0.00380457
66	0	0.000668367	1.42949e-316	0.00385565
67	0	0.000687779	1.42949e-316	0.00390909
68	0	0.000707449	1.42949e-316	0.00395918
69	0	0.000727373	1.42949e-316	0.00401037
70	0	0.000747555	1.42949e-316	0.00406242
71	0	0.000767993	1.42949e-316	0.00411273
72	0	0.000788636	1.42949e-316	0.00414459
73	0	0.000809472	1.42949e-316	0.00418944
74	0	0.000830542	1.42949e-316	0.00423859
75	0	0.000851857	1.42949e-316	0.00428749
76	0	0.000873418	1.42949e-316	0.00433701
77	0	0.000895228	1.42949e-316	0.00438705
78	0	0.00091728	1.42949e-316	0.00443366
79	0	0.000939569	1.42949e-316	0.00448201
80	0	0.000962098	1.42949e-316	0.00452959
81	0	0.000984867	1.42949e-316	0.00457775
82	0	0.00100788	1.42949e-316	0.00462601
83	0	0.00103113	1.42949e-316	0.00467518
84	0	0.00105462	1.42949e-316	0.00472264
85	0	0.00107835	1.42949e-316	0.00476946
86	0	0.00110232	1.42949e-316	0.0048167
87	0	0.00112651	1.42949e-316	0.00486153
88	0	0.00115094	1.42949e-316	0.00490868
89	0	0.0011756	1.42949e-316	0.00495456
90	0	0.00120048	1.42949e-316	0.00499962
91	0	0.00122559	1.42949e-316	0.00504416
92	0	0.00125093	1.42949e-316	0.00508917
93	0	0.00127647	1.42949e-316	0.0051302
94	0	0.00130223	1.42949e-316	0.00517282
95	0	0.00132821	1.42949e-316	0.00521625
96	0	0.0013544	1.42949e-316	0.00525986
97	0	0.0013808	1.42949e-316	0.00530153
98	0	0.00140741	1.42949e-316	0.00534382
99	0	0.00143424	1.42949e-316	0.00538629
100	0	0.00146128	1.42949e-316	0.00542873
101	0	0.00148852	1.42949e-316	0.00546905
102	0	0.00151597	1.42949e-316	0.00551144
103	0	0.00154363	1.42949e-316	0.00555098
104	0	0.00157148	1.42949e-316	0.00559093
105	0	0.00159954	1.42949e-316	0.00563151
106	0	0.0016278	1.42949e-316	0.00567263
