timestep	Fx	Fy
0.005	87.2744	0.130171
0.01	44.7185	-0.0416671
0.015	23.5677	0.0292156
0.02	12.7642	0.0290339
0.025	7.24408	0.0293088
0.03	4.40491	0.0289591
0.035	2.92974	0.0282553
0.04	2.14955	0.0289444
0.045	1.72545	0.0286458
0.05	1.48586	0.027387
0.055	1.34249	0.0273601
0.06	1.25016	0.0263537
0.065	1.18598	0.0277214
0.07	1.13774	0.0267775
0.075	1.09893	0.0275859
0.08	1.06594	0.0274721
0.085	1.03756	0.0270199
0.09	1.0125	0.0267251
0.095	0.989295	0.0265271
0.1	0.968482	0.0272128
0.105	0.949165	0.026017
0.11	0.931594	0.0259362
0.115	0.913979	0.0239148
0.12	0.899274	0.0253811
0.125	0.885081	0.0261035
0.13	0.871555	0.0256283
0.135	0.859062	0.0252058
0.14	0.847546	0.0259089
0.145	0.836146	0.0257845
0.15	0.825765	0.0259405
0.155	0.815687	0.0258532
0.16	0.806354	0.0261467
0.165	0.797456	0.0255851
0.17	0.732547	0.0254985
0.175	0.754662	0.0253981
0.18	0.761033	0.0246922
0.185	0.760495	0.024714
0.19	0.757003	0.02452
0.195	0.752238	0.0246218
0.2	0.74699	0.0241166
0.205	0.741476	0.0246675
0.21	0.736172	0.024334
0.215	0.730982	0.0237651
0.22	0.726372	0.0243951
0.225	0.721288	0.0243618
0.23	0.716703	0.0248082
0.235	0.71221	0.0249447
0.24	0.707955	0.0247844
0.245	0.703909	0.0245629
0.25	0.700063	0.0245357
0.255	0.696408	0.0247253
0.26	0.692925	0.0250261
0.265	0.689644	0.0248605
0.27	0.686334	0.0246734
0.275	0.682536	0.0248669
0.28	0.680018	0.0250484
0.285	0.677466	0.0248604
0.29	0.675072	0.0197859
0.295	0.672631	0.0227428
0.3	0.670217	0.0241314
0.305	0.6679	0.0243557
0.31	0.665729	0.0246989
0.315	0.663647	0.024925
0.32	0.660624	0.0253511
0.325	0.659143	0.0253856
0.33	0.657608	0.0249189
0.335	0.656064	0.0254733
0.34	0.655177	0.0175634
0.345	0.652565	0.0228243
0.35	0.651167	0.0243409
0.355	0.649914	0.025253
0.36	0.648849	0.0253589
0.365	0.647318	0.0251468
