ts	X	Y	U	V
1	0	8.13478e-07	1.97244e-316	0.000325417
2	0	2.18027e-06	1.97244e-316	0.000221222
3	0	3.46909e-06	1.97244e-316	0.000294218
4	0	5.12184e-06	1.97244e-316	0.00036674
5	0	7.13885e-06	1.97244e-316	0.000439924
6	0	9.51861e-06	1.97244e-316	0.000512204
7	0	1.22552e-05	1.97244e-316	0.000582691
8	0	1.53477e-05	1.97244e-316	0.000654863
9	0	1.87995e-05	1.97244e-316	0.000726245
10	0	2.26e-05	1.97244e-316	0.000794434
11	0	2.67411e-05	1.97244e-316	0.000862504
12	0	3.12172e-05	1.97244e-316	0.000928003
13	0	3.60285e-05	1.97244e-316	0.000996862
14	0	4.11782e-05	1.97244e-316	0.0010633
15	0	4.66649e-05	1.97244e-316	0.00113169
16	0	5.24922e-05	1.97244e-316	0.00119972
17	0	5.8657e-05	1.97244e-316	0.00126655
18	0	6.51538e-05	1.97244e-316	0.00133255
19	0	7.19727e-05	1.97244e-316	0.00139798
20	0	7.91217e-05	1.97244e-316	0.00146504
21	0	8.6598e-05	1.97244e-316	0.00152901
22	0	9.43931e-05	1.97244e-316	0.00159269
23	0	0.000102494	1.97244e-316	0.00165121
24	0	0.000110895	1.97244e-316	0.0017133
25	0	0.000119611	1.97244e-316	0.00177708
26	0	0.000128642	1.97244e-316	0.00183956
27	0	0.000137983	1.97244e-316	0.00190088
28	0	0.000147634	1.97244e-316	0.00196383
29	0	0.000157598	1.97244e-316	0.00202634
30	0	0.000167876	1.97244e-316	0.00208912
31	0	0.000178465	1.97244e-316	0.00215155
32	0	0.000189369	1.97244e-316	0.00221458
33	0	0.000200583	1.97244e-316	0.00227607
34	0	0.000212103	1.97244e-316	0.0023372
35	0	0.000223928	1.97244e-316	0.00239793
36	0	0.000236052	1.97244e-316	0.00245675
37	0	0.000248469	1.97244e-316	0.00251547
38	0	0.000261178	1.97244e-316	0.00257355
39	0	0.000274177	1.97244e-316	0.00263172
40	0	0.000287464	1.97244e-316	0.00268847
41	0	0.000301036	1.97244e-316	0.00274642
42	0	0.000314896	1.97244e-316	0.00280337
43	0	0.000329036	1.97244e-316	0.00285872
44	0	0.000343456	1.97244e-316	0.00291547
45	0	0.000358159	1.97244e-316	0.00297196
46	0	0.000373147	1.97244e-316	0.00302938
47	0	0.000388421	1.97244e-316	0.00308695
48	0	0.000403982	1.97244e-316	0.00314392
49	0	0.000419825	1.97244e-316	0.00320015
50	0	0.000435949	1.97244e-316	0.00325611
