#timestep, Fx, Fy
0.001, 24.7192, -0.262625
0.002, 18.0753, -0.145756
0.003, 11.8402, -0.0296258
0.004, 7.31963, -0.0022275
0.005, 4.60517, 0.0186905
0.006, 2.72869, 0.0341003
0.007, 1.76016, 0.0132655
0.008, 1.31019, 0.0169169
0.009, 1.021, 0.0146991
0.01, 0.934961, 0.00643023
0.011, 0.774069, 0.0101765
0.012, 0.703339, -0.0066073
0.013, 0.645004, 0.00158286
0.014, 0.602577, 0.00690711
0.015, 0.633022, -0.0022638
0.016, 0.543074, 0.00513416
0.017, 0.586469, -0.00482859
0.018, 0.500355, -0.00135211
0.019, 0.484651, 0.0068164
0.02, 0.526562, -0.0038816
0.021, 0.471154, 0.00459878
0.022, 0.502828, -0.00576534
0.023, 0.431293, 0.000752318
0.024, 0.426882, 0.00390796
0.025, 0.47039, -0.00620315
0.026, 0.421464, 0.00356253
0.027, 0.440252, 0.00133946
0.028, 0.402168, -0.00161322
0.029, 0.386858, 0.00332381
0.03, 0.429482, -0.00589206
0.031, 0.376265, 0.00192393
0.032, 0.398071, 0.00338101
0.033, 0.375281, -0.00454651
0.034, 0.348974, 0.00567139
0.035, 0.400925, -0.00418854
0.036, 0.354848, -0.00172744
0.037, 0.369882, 0.00284978
0.038, 0.335516, -0.00356934
0.039, 0.342347, 0.00497549
0.04, 0.371762, -0.000650144
0.041, 0.322664, -0.00132885
0.042, 0.340735, 0.00767757
0.043, 0.336576, -0.000838194
0.044, 0.33703, 0.00157572
0.045, 0.337284, -0.00151883
0.046, 0.309435, -0.000235582
0.047, 0.314751, 0.00346777
0.048, 0.345608, -0.00215424
0.049, 0.310429, 0.00215942
0.05, 0.296417, 0.00247592
0.051, 0.289407, -0.00363626
0.052, 0.303361, 0.00119775
0.053, 0.332798, 0.000683079
0.054, 0.274723, 0.000744523
0.055, 0.286607, 0.004435
0.056, 0.305694, -0.00136624
0.057, 0.28822, 0.00242647
0.058, 0.27901, 0.0019498
0.059, 0.263659, -0.00497676
0.06, 0.282458, 0.00377914
0.061, 0.317675, -0.00222307
0.062, 0.242808, -0.000210791
0.063, 0.265364, 0.00576996
0.064, 0.28115, 0.000932996
0.065, 0.26927, -0.000300968
0.066, 0.250902, -0.000853484
0.067, 0.227845, -0.00178949
0.068, 0.258144, 0.00132039
0.069, 0.276362, 8.90075e-05
0.07, 0.224438, 0.000857027
0.071, 0.243261, 0.000668619
0.072, 0.262737, -0.00307443
0.073, 0.230632, 0.00120008
0.074, 0.22405, 0.00678881
0.075, 0.21327, -0.00158878
0.076, 0.254808, -0.00101727
0.077, 0.219618, 0.00403079
0.078, 0.18445, 0.000148028
0.079, 0.2457, -0.000274774
0.08, 0.241419, 0.00146113
0.081, 0.189604, -0.00277378
0.082, 0.211405, 0.000804729
0.083, 0.225317, 0.00153665
0.084, 0.178973, 0.000722576
0.085, 0.197898, 0.00305175
0.086, 0.219175, -9.23926e-05
0.087, 0.166349, -0.000140696
0.088, 0.182895, 0.00314814
0.089, 0.196167, -0.0031312
0.09, 0.16242, 0.000432595
0.091, 0.1758, 0.00517607
0.092, 0.191063, -0.0016415
0.093, 0.150806, -0.000314464
0.094, 0.155222, 0.00366864
0.095, 0.175914, -0.0033691
0.096, 0.140433, 0.00114562
0.097, 0.144643, 0.00439614
0.098, 0.166242, -0.00344066
0.099, 0.12652, 0.00199948
0.1, 0.135425, 0.00425405
0.101, 0.151367, -0.0019732
0.102, 0.1011, -0.000321187
0.103, 0.12963, 0.000503101
0.104, 0.135871, -0.00041599
0.105, 0.109861, 0.00249861
0.106, 0.119871, 0.00233838
0.107, 0.125484, -0.000784108
0.108, 0.0830163, -0.000695294
0.109, 0.105401, 0.00214669
0.11, 0.114035, 0.00244434
0.111, 0.0684226, -0.00423586
0.112, 0.0965103, 0.0023241
0.113, 0.0827596, 0.001918
0.114, 0.0689409, -0.00103356
0.115, 0.0952785, 0.000181983
0.116, 0.0825155, 0.00208265
0.117, 0.0753605, 0.000712478
0.118, 0.0439623, 0.000744825
0.119, 0.0623761, -0.000303679
0.12, 0.0642133, 0.0004877
0.121, 0.0259734, -0.000784306
0.122, 0.0434382, 0.000849762
0.123, 0.0404607, 0.0016255
0.124, 0.0209856, -0.00177239
0.125, 0.0389369, 0.00178336
0.126, 0.0317521, 0.00164518
0.127, 0.0296107, 0.000616107
0.128, -0.00302067, -0.00173474
0.129, 0.0127148, 0.00194235
0.13, 0.00486242, 0.00238608
0.131, -0.00424737, -0.00112144
0.132, -0.00419625, 0.000560562
0.133, 0.000759057, 0.00123135
0.134, -0.00735055, 0.000838608
0.135, -0.0370071, 0.00102344
0.136, -0.0221648, -0.000508509
0.137, -0.00900219, 0.00140327
0.138, -0.0296439, 0.00078086
0.139, -0.0602731, -0.000717925
0.14, -0.0421273, 0.00123045
0.141, -0.0322472, 0.00271766
0.142, -0.049687, 0.000348967
0.143, -0.0773066, -0.00022382
0.144, -0.0619096, 0.0016229
0.145, -0.0566087, 0.00203468
0.146, -0.0710268, -0.000458298
0.147, -0.0960006, 0.000144082
0.148, -0.0798976, 0.000438265
0.149, -0.0728466, 0.00177709
0.15, -0.0912827, -4.12153e-05
0.151, -0.115433, 0.000379129
0.152, -0.109746, 0.0016254
0.153, -0.0935914, 0.000445017
0.154, -0.107536, 0.00070572
0.155, -0.131056, 0.00031932
0.156, -0.13455, 0.00122372
0.157, -0.112219, 0.000251792
0.158, -0.12779, 0.00268534
0.159, -0.162159, -0.000486222
0.16, -0.150328, -0.00128193
0.161, -0.136938, 0.000270117
0.162, -0.135059, 0.000677697
0.163, -0.159398, 0.00174038
0.164, -0.178529, 0.000262508
0.165, -0.172039, 0.00171326
0.166, -0.163592, 0.00124536
0.167, -0.17238, 0.00173941
0.168, -0.180548, 0.00102696
0.169, -0.201528, 7.4708e-05
0.17, -0.202399, 0.00087842
0.171, -0.183574, -0.000349701
0.172, -0.195301, 0.000794665
0.173, -0.20664, 0.000227752
0.174, -0.228136, 0.000218651
0.175, -0.224623, 0.00115906
0.176, -0.21352, 4.9235e-05
0.177, -0.205322, 0.000407873
0.178, -0.234145, 0.0016828
0.179, -0.260911, 0.000844336
0.18, -0.247052, 0.00149618
0.181, -0.248823, 0.00153726
0.182, -0.229493, -0.00020962
0.183, -0.24448, 0.000121843
0.184, -0.265077, 0.000346287
0.185, -0.28027, -0.000321519
0.186, -0.277891, 0.000374693
0.187, -0.276798, 0.00172647
0.188, -0.259377, 0.000338254
0.189, -0.269597, 0.000134111
0.19, -0.290394, 0.00257968
0.191, -0.309449, 0.00128866
0.192, -0.302841, -7.84692e-05
0.193, -0.305208, 0.000204405
0.194, -0.29842, 0.000716187
0.195, -0.289841, -0.000370806
0.196, -0.303831, 0.000319532
0.197, -0.328649, 0.00232881
0.198, -0.34016, 0.00121679
0.199, -0.335223, -0.000883363
0.2, -0.340528, -0.000850789
0.201, -0.330688, 0.00113027
0.202, -0.321868, 0.000464218
0.203, -0.326463, -0.000226171
0.204, -0.345215, 0.000871887
0.205, -0.362035, 0.00230788
0.206, -0.372806, 0.00317266
0.207, -0.368184, -0.000703455
0.208, -0.369396, 0.000163879
0.209, -0.370194, -0.000514461
0.21, -0.356691, 0.00209697
0.211, -0.360822, -0.000168601
0.212, -0.369674, -0.000668937
0.213, -0.38441, -0.000249888
0.214, -0.397044, 0.00225812
0.215, -0.409918, 0.0018801
0.216, -0.408242, 0.0017939
0.217, -0.408271, -0.00091741
0.218, -0.409312, -0.000246976
0.219, -0.4091, 1.9034e-05
0.22, -0.401135, -9.19684e-06
0.221, -0.396886, 0.00187747
0.222, -0.402836, 0.000947629
0.223, -0.404308, -0.00102895
0.224, -0.424011, 0.000499261
