#timestep, Fx, Fy
0.001, 35.5737, -0.158444
0.002, 18.2899, -0.0766587
0.003, 9.38841, -0.0382824
0.004, 5.15863, -0.0192811
0.005, 3.01754, -0.00870457
0.006, 1.8328, -0.00533387
0.007, 1.25978, -0.00331962
0.008, 0.950511, -0.000161315
0.009, 0.811636, -0.00168621
0.01, 0.718577, -0.000896473
0.011, 0.612247, -0.00134312
0.012, 0.577643, -0.00123453
0.013, 0.547987, 0.000233213
0.014, 0.544967, -0.00127725
0.015, 0.537515, -0.000782894
0.016, 0.469615, -0.000684005
0.017, 0.476004, -0.000106226
0.018, 0.481607, -0.000804083
0.019, 0.454485, -0.000807624
0.02, 0.464609, -0.0007075
0.021, 0.37716, -0.000429039
0.022, 0.448478, -0.000333113
0.023, 0.429695, -0.000413283
0.024, 0.407381, -0.000515869
0.025, 0.416397, -0.00103211
0.026, 0.335074, -0.000385639
0.027, 0.404395, 6.03584e-05
0.028, 0.405817, -0.000716618
0.029, 0.358049, 2.3693e-05
0.03, 0.382966, -0.000312008
0.031, 0.33886, -0.000949312
0.032, 0.357259, 0.000486845
0.033, 0.390708, -0.000728779
0.034, 0.311213, -0.000490705
0.035, 0.34137, -0.000927465
0.036, 0.310886, -0.000293705
0.037, 0.332346, 0.000133854
0.038, 0.350662, -0.000591058
0.039, 0.30092, -5.5094e-05
0.04, 0.320278, 0.000487659
0.041, 0.291604, -0.000642676
0.042, 0.297605, 0.000349421
0.043, 0.34467, -0.000458516
0.044, 0.27872, -0.000415122
0.045, 0.289007, 0.000244888
0.046, 0.306193, -0.000280642
0.047, 0.271963, 0.000209006
0.048, 0.30783, -0.000170003
0.049, 0.264982, -0.000170581
0.05, 0.27636, 0.000374999
0.051, 0.31329, -0.00117421
0.052, 0.254391, -0.000409324
0.053, 0.26817, 0.000821154
0.054, 0.226051, 0.000103021
0.055, 0.256097, 0.000122231
0.056, 0.30233, -9.36442e-05
0.057, 0.220169, -8.64894e-05
0.058, 0.260835, 3.81772e-06
0.059, 0.301052, -0.000101694
0.06, 0.229288, -0.000237677
0.061, 0.245987, 0.000296658
0.062, 0.206263, -0.000565959
0.063, 0.230115, 0.000409965
0.064, 0.273756, 0.000281945
0.065, 0.221882, -1.0081e-05
0.066, 0.224314, -0.000159073
0.067, 0.261745, -5.77877e-05
0.068, 0.19359, -0.000250784
0.069, 0.2193, -0.000355167
0.07, 0.232759, 0.000338214
0.071, 0.185905, -6.35619e-05
0.072, 0.225801, -0.000172956
0.073, 0.191089, 0.0007064
0.074, 0.192765, -0.000238785
0.075, 0.239322, -0.000140221
0.076, 0.187461, -0.000612364
0.077, 0.186091, 0.00100683
0.078, 0.22059, 0.000492492
0.079, 0.165974, -0.00123816
0.08, 0.188921, 5.7402e-05
0.081, 0.224548, 9.63141e-05
0.082, 0.148452, -1.86627e-05
0.083, 0.1738, 0.000912748
0.084, 0.183576, -0.000541945
0.085, 0.13299, -0.00032815
0.086, 0.181083, 0.000715675
0.087, 0.161949, -0.000134402
0.088, 0.134536, -0.000334422
0.089, 0.170862, -0.000703807
0.09, 0.130816, 0.000567947
0.091, 0.136055, 0.000179778
0.092, 0.168358, 0.000208918
0.093, 0.13469, 1.04427e-05
0.094, 0.116155, 0.000574546
